id,address,latitude,longitude,address_road,building_name,age,main_use,floor,under_floor,structure_name,structure_category,gf_area,bc_area,bc_ratio,fa_ratio,parking_lot_count,area,connection_area,landuse_zone,landuse_district,jimok,lot_road,lot_height,lot_shape,icp_potential_landlocked,development_state,naver_longitude,naver_latitude,naver_pnu
2823710400100650005,인천 부평구 청천동 65-5,37.51913722,126.688936,,,0,,,,,건물없음,,,,,,1274.0,1274.0,준공업지역,,답,세로(가),평지,삼각형,False,,126.6889698,37.5191535,2.82371040010065e+18
2823710400104030022,인천 부평구 청천동 403-22,37.52291214,126.71115498,부평북로 163,A동|B동|C동,28,공장,4.0,1.0,철근콘크리트조,철골철근콘크리트,3995.3,1221.0,63.0,186.4,36.0,1939.0,1939.0,일반공업지역,,공장,중로한면,평지,정방형,False,,126.7111539,37.5228811,2.82371040010403e+18
2823710400100590014,인천 부평구 청천동 59-14,37.51995796,126.68847036,,,0,,,,,건물없음,,,,,,591.0,591.0,준공업지역,,대지,세로(가),평지,삼각형,False,,126.6884809,37.5199337,2.82371040010059e+18
2823710400103800003,인천 부평구 청천동 380-3,37.52204567,126.69927534,부평북로 58,가동|나동,35,공장,3.0,1.0,철근콘크리트조 조적조,철골철근콘크리트,2623.8,836.2,41.4,122.3,28.0,2017.5,2017.5,준공업지역,,공장,소로한면,평지,세장형,False,,126.6992635,37.5221647,2.8237104001038e+18
2823710400104270015,인천 부평구 청천동 427-15,37.52029346,126.71975489,부평북로236번길 49,천미테크 1동|천미테크 2동|천미테크 3동,17,공장,4.0,0.0,일반철골구조 경량철골구조,철골,9552.6,3081.7,66.2,205.2,0.0,4655.7,4655.7,일반공업지역,,공장,소로한면,평지,세장형,False,,126.7197517,37.5203028,2.82371040010427e+18
2823710400101750021,인천 부평구 청천동 175-21,37.51628222,126.70816357,안남로369번길 30,,12,공장,5.0,0.0,철근콘크리트구조,철골철근콘크리트,4405.0,1114.4,67.4,266.5,14.0,1652.8,1652.8,준공업지역,,공장,소로각지,평지,세장형,False,,126.7081586,37.5163072,2.82371040010175e+18
2823710400101770018,인천 부평구 청천동 177-18,37.5151995,126.70606002,세월천로30번길 47,대원테크노파크,7,공장,7.0,0.0,일반철골구조,철골,6061.9,1140.1,68.7,365.2,32.0,1660.0,1660.0,준공업지역,,공장,소로한면,평지,세장형,False,,126.7060546,37.5151736,2.82371040010177e+18
2823710400103730012,인천 부평구 청천동 373-12,37.52279031,126.69433028,청안로 17,(주)경도시스템 A동|(주)경도시스템 B동|(주)경도시스템 C동|(주)경도시스템 D동,32,공장,3.0,1.0,철근콘크리트조 철골조,철골철근콘크리트,1820.1,697.3,71.0,167.1,0.0,981.5,981.5,준공업지역,,대지,광대소각,평지,세장형,False,,126.6943317,37.5228,2.82371040010373e+18
2823710400100590038,인천 부평구 청천동 59-38,37.5198876,126.68908954,,1동|2동,32,공장,2.0,0.0,철근콘크리트조,철골철근콘크리트,2367.4,1122.0,60.0,126.6,0.0,1870.0,1870.0,준공업지역,,대지,소로한면,평지,사다리,False,,126.6890838,37.5198923,2.82371040010059e+18
2823710400104090007,인천 부평구 청천동 409-7,37.5220329,126.71198035,안남로434번길 23,A동|B동|C동|D동|E동|G동|H동,26,업무시설,3.0,1.0,철근콘크리트조,철골철근콘크리트,3640.4,4659.6,63.5,47.7,105.0,7338.2,7338.2,일반공업지역,,대지,중로각지,평지,사다리,False,,126.711976,37.522023,2.82371040010409e+18
2823710400100700060,인천 부평구 청천동 70-60,37.51822455,126.68760974,,,0,,,,,건물없음,,,,,,225.0,225.0,준공업지역,,전,세각(가),평지,삼각형,False,,126.6876013,37.5182748,2.8237104001007e+18
2823710400104260005,인천 부평구 청천동 426-5,37.52171348,126.71974412,부평북로236번길 19,,11,공장,5.0,0.0,일반철골구조 경량철골조,철골,4961.6,1128.6,65.4,287.5,21.0,1726.0,1726.0,일반공업지역,,공장,소로한면,평지,세장형,False,,126.7197422,37.5217179,2.82371040010426e+18
2823710400104270004,인천 부평구 청천동 427-4,37.52218798,126.71876044,부평북로236번길 12,대우일렉트로닉스 1동|대우일렉트로닉스 6동,46,공장,4.0,1.0,철근콘크리트조 경량철골구조 시멘트블럭조,철골철근콘크리트,10659.0,3398.8,63.1,192.2,0.0,5384.0,5384.0,일반공업지역,,공장,중로각지,평지,가장형,False,,126.7187814,37.5223026,2.82371040010427e+18
2823710400103910028,인천 부평구 청천동 391-28,37.52145189,126.70656172,평천로115번길 25,,11,공장,4.0,0.0,일반철골구조,철골,1995.8,501.8,60.3,239.8,7.0,832.3,832.3,준공업지역,,공장,소로한면,평지,세장형,False,,126.7065579,37.5214711,2.82371040010391e+18
2823710400104230002,인천 부평구 청천동 423-2,37.51821367,126.71542545,새벌로 15,A동|C동,100,공장,3.0,0.0,철근콘크리트조 철골조,철골,3151.5,1261.2,61.2,153.1,0.0,2059.0,2059.0,일반공업지역,,공장,중로각지,평지,정방형,False,,126.7154166,37.5181543,2.82371040010423e+18
